ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI
86;spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);[99];[121, 123];Modified a class's instance declaration, instead of using new Class(), called a method that does this.;Inserted a conditional (if) for an attribute that has not been changed from the left, checking if an attribute of the class is true or false.;No
87;spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);[87];[88];extracts the instantiation of the object to another method;Change an object's attribute using a set method;No
88;spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport(boolean);[114];[110];Change the string sent as a parameter to the logger.debug method;Change the string sent as a parameter to the logger.info method;Yes
89;spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory;customizeConnector(Connector);[240, 241, 242, 243, 244, 246, 247, 248, 249];[228];Added an if condition that has an asset in its body. One method call to configureSsl and two set method calls to connector;Added a wildcard to the generic of the AbstractProtocol class which is used as a casting;No
90;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpout;open(Map, TopologyContext, SpoutOutputCollector);[];[118, 102];Left removes the assignment value to field maxRetries, which was also removed by Left.;Right assigns a value for field refreshSubscriptionTimer, which was also added by Right.;No
91;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpoutConfig;KafkaSpoutConfig(Builder<K,V>);[];[435, 436, 437, 438, 439, 440, 441, 430, 431];Left removes the assignment for field maxRetries, and also its declaration.;Right removes four fields and adds seven fields with their assignment.;No
92;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpoutConfig;toString();[];[515, 516, 521, 522];"Left removes the field and reference for maxRetries of the returning string from the method toString();";Right performs a refactoring involving the references for key and value variables. It updates how the variable values are accessed (now using get methods instead of directly accessing the values). Right also removes references to the field: kafkaSpoutStreams, tuplesBuilder, topics, and topicWildcardPattern. Finally, it adds reference for subscription and translator.;Yes
93;storm;bd1f5c54752f67b484a83c26667331234234d3a3;org.apache.storm.kafka.spout.KafkaSpout;emitTupleIfNotEmitted(ConsumerRecord<K,V>);[305, 306, 307, 312];[316, 319];"Left performs a refactoring extracting a variable of an IF statement; it also changes another IF condition.";Right updates the method signature changing its return type for boolean and adds return statements.;No
94;swagger-core;e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2;io.swagger.jaxrs2.OperationParser;getSchemaFromAnnotation(io.swagger.oas.annotations.media.Schema);[240, 241, 234, 235, 236, 237, 238, 239];[244, 187, 188];Left adds two IF statements, which may set some fields on object schemaObject.;Right renames three methods _enum() to allowableValues(), and _default() to defaultValue;No
95;titan;387c16ea05ef9fa312f37139228d2bbf61455ff4;com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization;initialize(Serializer);[52, 53, 54, 55, 57];[31];Left adds and removes calls for method registerClass of serialize object, that registers new classes in the registrations hashmap.;Right changes one call for method registerClass by adding a new parameter (instead of only two), and this new parameter will be added into headers hashmap.;No
96;titan;04edd7f0e7eab2e8255a497922e34dc707d84c19;com.thinkaurelius.titan.graphdb.transaction.StandardTitanTx;StandardTitanTx(StandardTitanGraph, TransactionConfiguration, BackendTransaction);[182, 183];[197, 198, 199];Left created three private final type attributes and assigned two of them with a constructor within the method.;Right added a conditional and used other statements: config.getMetricsPrefix() and MetricManager.INSTANCE.getCounter(config.getMetricsPrefix());No
97;voldemort;b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997;voldemort.VoldemortClientShell;VoldemortClientShell(ClientConfig, String, BufferedReader, PrintStream, PrintStream);[123];[128, 127];Left changed the parameters for the constructor of the adminClient object, inserting the reference passed by parameter instead of a new object.;Right created a local variable called 'cluster' that access the 'adminClient' attribute and assigned a 'RoutingStrategyFactory' object to routingStrategy, passing the created variable.;Yes
98;voldemort;4cc1c145819030c8e2baffe4c92383de14b8d880;voldemort.server.VoldemortConfig;VoldemortConfig(Props);[359];[448, 455];Inserted a change to the readOnlyLoginIntervalMs attribute using the the object 'props' passed by parameter and the method getLong.;Inserted changes to the attributes nioConnectorKeepAlive and nioAdminConnectorKeepAlive, using the props object passed by parameter and the getBoolean methods and two different strings.;No
99;webbit;74d2d2b87704d003acacb34e4ca8fb5f897b938f;org.webbitserver.netty.WebSocketClient;adjustPipelineToWebSocket(ChannelHandlerContext, MessageEvent, ChannelHandler, ChannelHandler);[260];[262];Left sets the version of webSockectConnection object calling the method setHybiWebSocketVersion.;"Right changes the order of parameters used to create the local variable webSocketChannelHandler; so it's a refactoring.";No
