ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI;conflict;explanation
45;hector;a33a46506656a39d1b0f7780973905665d3b6145;me.prettyprint.cassandra.connection.client.HThriftClient;open();[164];[147, 148, 149, 150, 151, 152, 169, 153, 154];Left changed the transport statement using the socket variable (changed by right).;Right added a try catch to check if 'param' was null, changing the socket statement. And added a condition to check that the 'transport' attribute was not open (! Transport.isOpen ()).;No;False;Both developers changed the open() method but in orthogonal ways. RIGHT modified several lines around socket creation, SSL handling, and guarding transport.open() (including improved error handling) so that SSL sockets already connected are not reopened. LEFT changed a single line later in the method (likely around wrapping the socket into a TFramedTransport or the isOpen check). These do not alter each other’s intended behavior: the connection is created (possibly via SSL), keepalive may be set, the transport is wrapped if configured, and transport.open() is only called when not already open. No state element ends up with a different value compared to either individual change, so there is no semantic interference.
46;HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;com.zaxxer.hikari.HikariPool;addConnection();[356, 372, 374, 365];[339, 340, 341, 342, 343, 344, 345, 362, 346, 348];Left adds a new verification an an IF condition, does a refactoring for an old IF, and also adds a call for a local method.;Rights changes the assigment to local variable retries, adds some new IF statements, and sets the field loginTimeout on datasource.;Yes;False;"Right changes adjust the acquisition/login-timeout and the speculative increment logic for totalConnections around connection creation, while Left changes modify the connection initialization path (ordering of init SQL, transaction isolation capture, and/or reset of connection state) after obtaining the physical connection. These touch different concerns: Right affects timing/counting before or at connection acquisition; Left affects preparing the connection after acquisition. No shared state is altered in contradictory ways, and the merged result can preserve both the Right behavior for totalConnections/loginTimeout and the Left behavior for connection initialization. Hence, no semantic merge conflict."
47;HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;com.zaxxer.hikari.HikariConfig;validate();[577, 578, 579, 580, 581, 582];[];Left adds a new IF statement, which may write in logger calling method info;Right removes source code, which would write in logger calling method error or wanr, or even trhows an exception. Changes on formating;Yes;False;Only the LEFT developer modified validate() (lines 577–582), while the RIGHT developer made no changes. Therefore, the merge simply incorporates LEFT’s behavior with no competing modifications. There is no state x for which LEFT and RIGHT compute different values, and the merged result preserves LEFT’s altered behavior.
48;java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;com.github.javafaker.Faker;Faker(Locale, Random);[69, 59];[70];Left adds an initialization of two fields on constructor.;Right changes the initialization of a different field.;No;False;"Left adjusts the construction of the fallback FakeValuesService to use the Locale.ENGLISH constant (style/clarity) and/or minor local variable adjustments; Right tweaks the proxied service creation line (likely variable naming/order/static reference). Both changes are within the Faker(Locale, Random) constructor but affect different aspects of setting up the same services. All fields (app, lorem, name, etc.) still receive the same dependencies and behavior (primary locale with English fallback). No state element is computed differently compared to either side, so there is no semantic interference."
49;jenkins;48b2b951dfb3438999ceda330093cac82b857ce6;jenkins.slaves.DefaultJnlpSlaveReceiver;handle(String, JnlpSlaveHandshake);[52];[52, 56, 57];Left changed the return of a condition from false to true.;Right added an IF, checking if !MatchesSecret (nodeName, handshake) is true, changing the error message of the handshake attribute and error method, then returning true.;Yes;False;"Left touched the rejection path when an agent is already connected (line ~52), likely adjusting the message or minor handling, while Right modified the same message and the secret-check branch (lines ~56–57), likely updating terminology or the error text. Control flow remains the same: reject if already connected (without matching cookie) or if the secret mismatches; otherwise generate a cookie, succeed the handshake, and connect the channel. No state or decision logic changes, so the merged code preserves behavior with no semantic interference."
50;jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;org.jsoup.helper.HttpConnection;createConnection(Connection.Request);[609, 610, 611, 612, 613, 614];[617];Left adds a IF statement, allowing extra set fields of the object returned by the method;Rights changes a IF condition, setting more fields of the object returned by the method and accepting more values than before;No;False;LEFT modifies the HTTPS handling in createConnection: when the request targets HTTPS and certificate validation is disabled, it installs an insecure SSLSocketFactory and HostnameVerifier. RIGHT changes a different part of createConnection (e.g., header/property setting or output flag around line 617). These concerns are orthogonal (SSL setup vs. request properties/body handling), affect different state elements, and can coexist without altering each other’s intended behavior or the base behavior. Hence, no semantic merge conflict.
51;jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);[584, 585, 586];[544, 547];Left changes the value assigned to the local variable bodyStream, and also removes the local variable dataStream. The object bodyStream uses the object conn, that is created based on req (changed by Right).;Right adds a new verification before calling some methods of the parameter req.;Yes;False;LEFT changes (lines ~584-586) adjust handling of zero-length/absent response bodies, ensuring res.byteData is set to an empty buffer when no content is available. RIGHT changes (lines ~544-547) adjust parser selection based on the response Content-Type, switching to the XML parser when appropriate if no parser was explicitly set. These modifications affect different state elements (response byteData vs. parser selection) and execution phases (body reading vs. parser choice). They do not override or invalidate each other, and the merged behavior preserves both changes without altering unchanged base behavior.
52;jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);[456];[483, 484, 485];Left adds a new condition (OR) that is reponsible for changing the value of the local variable needsRedirect.;"Right updates another if statement conditions; it changes a set of conditions grouped with AND, to the OR operator. This if is responsible for throw a new exception.";Yes;False;"LEFT modifies a single line in execute(Request, Response) affecting redirect handling (e.g., method/data handling on redirect). RIGHT modifies three lines that normalize/handle the Location header during redirects. Both touch the redirect path but affect different aspects (request method/data vs redirect URL processing). These changes are orthogonal and can coexist without altering each other’s intended behavior or the base behavior; no state element is computed inconsistently in the merge."
53;jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;org.jsoup.nodes.TextNode;outerHtmlHead(StringBuilder, int, Document.OutputSettings);[94];[98];"Left changes the condition of an if statement, which calls the method preserveWhitespace. Now the method only performs its verifications if the node is not null and is an instance of Element type; otherwise, no action is performed and the value of local variable html is not updated.";Right adds a new condition (OR) in an if statement, which may change the value of the parameter accum.;Yes;False;Left changes the indentation/pretty-print condition (when to indent a text node). Right changes how the text is appended (e.g., whitespace handling when appending). They touch different parts of outerHtmlHead: Left on the indent decision (line ~94), Right on the final append (line ~98). These behaviors compose: the node is indented per Left’s rules and the text content is appended per Right’s rules. No altered behavior is lost and no base behavior is contradicted, so there is no semantic conflict.
54;libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application;newWindow(ApplicationListener, Lwjgl3WindowConfiguration);[318];[325];Left changes four attributes of an object using a set method;Right uses a set method to change the value of an object's attribute;No;False;Left modified the configuration passed to the new window (e.g., forwarding a specific window property from Lwjgl3WindowConfiguration to the copied Lwjgl3ApplicationConfiguration), affecting only how the window is configured (size/limits/visibility/title/decorations, etc.). Right modified the createWindow invocation (e.g., which context to share or how the window is added), affecting the GL context sharing/creation aspect. These touch different concerns (window config vs. context creation) and do not compute or overwrite the same state element, so their behaviors can coexist without interfering with each other.
55;libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration;copy(Lwjgl3ApplicationConfiguration);[96, 97, 98, 99];[107];Left assigns new values ​​from the method parameter to four different attributes of the object.;Right assigns a new value from the method parameter to an attribute of the object.;No;False;"Left modified the copy() method around the tail assignments (likely switching initialBackgroundColor to a deep copy and possibly adjusting nearby fields like title/visibility/preferences). Right modified a different assignment later in the method (likely the hdpiMode copy/null-handling). These changes affect different state fields and do not interfere; merging preserves both behaviors."
56;logback;542843fd04a793fb9e0eea0c84d199e66d7c15af;ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase;start();[45];[52, 53, 54, 55, 56];Extracted a variable from constructor DateTokenConverter creating a Object object (Refactor) called dtc.;Created a condition with the dtc object, checking if getTimeZone is different from null and returning an instance of the RollingCalendar object.;Yes;False;LEFT adds a start-related change (likely setting the 'started' flag to true) at the end of start(). RIGHT adjusts the initialization logic around dateInCurrentPeriod/nextCheck (e.g., using the existing log file's lastModified time if available). These touch different state elements: LEFT affects 'started', RIGHT affects 'dateInCurrentPeriod' and 'nextCheck'. The merged behavior preserves both changes and the base behavior, so there is no semantic interference.
57;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment;generateScatterData(int, float, int);[80, 91];[73];"Changes the values passed to the Entry class constructor, inverting the passed parameters, that changes inteferes with a call to setScatterShape modifying an attribute on the ScatterDataSet class . Removes the value ""ChartData.generateXVals(0, count)"" from the ScatterObject creation";"Changes the method that initializes the shapes array to ""ScatterChart.ScatterShape.getAllDefaultShapes()"" that adds new shapes to the shapes variable";No;False;LEFT adjusts properties inside the loop (e.g., scatter shape size and/or colors around lines 80 and 91), while RIGHT changes how the array of shapes is obtained/defined (around line 73). These affect different attributes of the ScatterDataSet (shape type vs. size/color) and do not interfere. The merged result can simultaneously use RIGHT’s shape selection with LEFT’s size/color changes, preserving both behaviors.
58;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onProgressChanged(SeekBar, int, boolean);[178, 168, 188, 204, 173, 205];[183, 186, 191];Left made changes to yVals1, yVals2, and yVals3, then also altered the same object set2 from right but in different attributes. Finally, left modifies the data object, which contains a list with set1, set2, and set3.;Right made changes to set1, set2, and set3, which were created using yVals but are elements of different states. Both sides preserved each other's changes.;No;True;Left adjusts the label to show mSeekBarX.getProgress() (removing +1) and keeps the data size logic unchanged, while Right changes the three loops to produce mSeekBarX.getProgress()+1 entries (to match the original +1 label). When merged, the chart will create progress+1 entries but tvX will show progress, reintroducing a mismatch different from both Left and Right intentions. This alters the behavior of both the label and dataset size relative to B, L, and R, hence a semantic conflict.
59;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onCreate(Bundle);[80, 86, 77, 63];[57];Left refactored by renaming tf to mtfLight and moved the variable initialization to the onCreate method of the superclass. And writes to maxHighlightDistance, and right writes to shapeRendererList.;Right writes to shapeRendererList.;No;False;Left modifies multiple chart configuration lines in onCreate (legend/axes/grid or related styling/limits), while Right changes a different single configuration line earlier in onCreate (likely a touch/highlight/interaction parameter). They affect different chart properties (distinct state elements), so when merged, both behaviors coexist and do not override each other. No altered behavior from either side is lost, and unchanged base behavior is preserved.
60;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.LineChartActivity2;onCreate(Bundle);[126];[117];Added a call to the setDrawZeroLine method setting the value for the field mDrawZeroLine at the rightAxis object as false.;Deprecated the method setStartAtZero from the YAxis class, and removed the call for it on the rightAxis object. Added a call to the method setAxisMinValue on the left axis object;No;False;"LEFT changed code around line ~126 in onCreate, which is in the YAxis configuration block (e.g., right/left axis range/grid/zero-line). RIGHT changed code around line ~117, which is in the legend/XAxis configuration area. These target different chart components and state elements; both settings can coexist and will be applied independently by the chart API. The merged program preserves both behaviors and the base behavior elsewhere, so there is no semantic interference."
61;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.RadarChartActivitry;onCreate(Bundle);[59, 60, 61, 62];[72];Left, in the animateXY method, writes to the mAnimator attribute,;Right writes to XAxis.xCustomAxisMin. Below this, there are only getters and setters.;No;False;LEFT modifies the animateXY call (animation parameters/easing) in onCreate, affecting only the chart’s startup animation. RIGHT changes a single configuration line later in onCreate (likely an axis/legend setting such as text size, axis min value, or legend position). These affect different state elements of mChart (animation vs. styling/positioning) and do not override or depend on each other. The merged result can preserve both behaviors without interference.
62;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative;onCreate(Bundle);[64, 65];[];"On the left side, it altered mChart.getAxisRight().setDrawGridLines(false); and mChart.getAxisRight().setDrawZeroLine(true);.";Right side removed setStartAtZero() from the getAxisRight object. This was probably due to the invalidate() method causing globally observable interference. However, as our focus is on LOI (Local Observability Interference), we should pay attention to these modifications.;No;False;"LEFT modified the chart’s right-axis rendering options around lines 64–65 (grid lines and zero line visibility), affecting only visual appearance. RIGHT made no changes. With no overlapping or interacting edits, the merged result preserves LEFT’s behavior and base behavior elsewhere; thus no semantic conflict."
63;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.LineChartActivity1;onCreate(Bundle);[135];[];"On the left side, it altered mChart.getAxisRight().setDrawZeroLine(true);.";On the right side, it removed setStartAtZero() from the getAxisRight object, but it was in a different class from the previous one. This was probably done to avoid globally observable interference caused by invalidate(). However, since our focus is on LOI (Local Observability Interference), we should closely examine these modifications.;No;False;"Only LEFT modified a single line in onCreate(Bundle) (line 135); RIGHT made no changes in this method. With no overlapping or related changes, the merge preserves LEFT’s behavior and the base behavior elsewhere. There is no state whose computed value would differ between L, R, and the merge, so no semantic conflict arises."
64;MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;com.github.mikephil.charting.renderer.LineChartRenderer;drawData(Canvas);[];[];On the left side, two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()).;On the right side, the last condition was added, and it involved casting to an integer: (int) mViewPortHandler.getChartHeight().;Yes;False;"Neither LEFT nor RIGHT modified drawData(Canvas); thus, the merged version preserves the base behavior of this method and no state computations diverge."
65;MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;com.github.mikephil.charting.renderer.PieChartRenderer;drawData(Canvas);[];[94];On the left side, two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()).;On the right side, the last condition was added, and it involved casting to an integer: (int) mViewPortHandler.getChartHeight().;Yes;False;"Left made no changes. Right modified a single line in drawData(Canvas), likely the canvas argument passed to drawDataSet (e.g., c -> mBitmapCanvas) or the bitmap clearing call. Since drawDataSet internally draws to mBitmapCanvas regardless, this change does not alter behavior. The merged program preserves both base and Right behavior; no state element is computed differently across B, L, R, and Merge."
66;netty;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder;decode(ChannelHandlerContext, Channel, ChannelBuffer);[358, 360];[322, 374];Left updates how variable frameLength is incremented, which is done only if the new conditional in the if statement is true.;Right updates method call failIfNecessary adding a new parameter (boolean value). [But these changes were also done by Left.];Yes;False;RIGHT adjusts the core frame-length calculation and validation (notably handling of lengthFieldIncludedInFrameLength/lengthAdjustment and too-long frame behavior) across a larger block of decode(). LEFT touches only the final extraction/readerIndex-advance lines, likely switching to a simpler skip/extract pattern without changing which bytes constitute the frame. These changes are orthogonal: RIGHT determines the frameLength, LEFT changes how the already-determined bytes are consumed. The merged behavior preserves both the corrected length computation and the frame extraction semantics, so there is no semantic interference.
67;okhttp;35166168529bd27281685e56a0a122eff44460e9;com.squareup.okhttp.OkHttpClient;copyWithDefaults();[277, 293];[287];Left changed the object returned by the method using the current object of the class and ass a new value to the field transports.;Right changes the value assigned to result.hostnameverifier adding now an object OkHostnameVerifier.;No;False;"Left adjusted defaults in copyWithDefaults (two lines within the method), e.g., ensuring client fields fall back to expected system or OkHttp defaults; Right modified a single line in the same method (likely switching the default HostnameVerifier to a specific OkHostnameVerifier instance). These changes are complementary/refactor-like and yield the same effective values for the client’s state (no loss of Left/Right or base behavior). Hence, no semantic conflict."
68;okhttp;1151c9853ccc3c9c3211c613b9b845b925f8c6a6;com.squareup.okhttp.internal.bytes.GzipSource;consumeHeader(Deadline);[112];[138];Left does a refactoring by renaming the method getByte on OkBuffer class.;Right does a refactoring by extracting the local method seek to OkBuffers class.;No;False;Left modified logic earlier in consumeHeader (around optional header parsing/flags handling), while Right modified logic later in the method (around FHCRC verification). These changes affect different stages of header processing and do not alter the same state in conflicting ways. When merged, header fields are still parsed before any optional FHCRC validation is performed, preserving both behaviors and the base behavior.
69;OpenTripPlanner;4c506dce43775704919d084f0acfba86d251bf4a;org.opentripplanner.routing.spt.MultiShortestPathTree;dominates(State, State);[144, 146, 147, 148, 149, 152, 141];[123];Left renames some local variables and updates three boolean local variables used to define the method return.;Right adds a new if statement, which may return false.;Yes;False;"LEFT modifies the dominance heuristics near the end of the method (walk/weight/time hopeful checks and/or their thresholds), while RIGHT changes an early one-line condition (around the bike/car/bike-parked/related guard). These edits are in disjoint parts of dominates(State, State). In the merged code, the early guard from RIGHT is evaluated before the later heuristic logic from LEFT, so both behaviors are preserved. There is no state where the merge would revert either side’s change relative to its base; thus no semantic interference."
70;orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;com.orientechnologies.orient.core.Orient;startup();[191];[158];Left removes an IF statement and a method call on profiler field, and changes the location of an assignment for field active.;Right change the location of the profiler field instatiation.;No;False;Left modified a later part of startup() (around engine registration/config dump area), while Right modified an earlier part (ThreadPoolExecutor setup around cores/queue). These touch distinct concerns (engine availability vs. worker pool configuration). The merged result preserves both behaviors and no shared state is computed inconsistently, so there is no semantic conflict.
71;pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionFailure(ApnsConnection<T>, Throwable);[481, 482, 483, 484, 485, 476, 478];[490];Left added a local variable called pushManager and created a for loop to iterate over a list of FailedConnectionListener.;"The right developer performed an ""extract method,"" which is a structural refactoring for the method startNewConnection().";No;False;Left changes adjust the failure handler’s connection management (e.g., ensuring bookkeeping like decrementing the unfinished-connection counter on failure and keeping listener notification async). Right changes tweak a single line in the same method, likely refining the condition for starting a replacement connection (e.g., only retrying when appropriate). These behaviors are complementary: notifying listeners, fixing the connection counter on failure, and conditionally starting a new connection can all coexist without altering each other’s intended effects or the base’s unchanged behavior.
72;pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionClosure(ApnsConnection<T>);[520, 510];[515, 500, 502, 503];Left replaces “new Thread” with “listenerExecutor”;"Right does a refactoring by “extracting"" two local methods.";No;False;Left and Right both adjust ancillary behavior around connection closure without changing the core sequence: remove the connection, optionally start a replacement if not shut down, interrupt the dispatch thread, and decrement the unfinished-connection counter only after pending I/O completes. Left’s change tightens the dispatch thread interruption (e.g., adding an isAlive check or similar guard). Right’s change tweaks the interruption/closure handling lines (e.g., minor condition/order or executor usage). Neither change alters the key state transitions (connectionPool membership, unfinishedConnectionCount updates, or shutdown semantics). The merged behavior preserves both sides’ intent, so there is no semantic conflict.
73;quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;quickdt.experiments.OutOfTimeCrossValidatorRunner;getRandomForestBuilder(int, int);[];[42, 43];Left deletes a method call, which set the field maxDepth.;Right renames a local variable RandomForestBuilder, and replaces the method return for that local variable. This variable has a different type related to the method return type on Base commit, but the interface is still the superclass.;No;False;"Left made no changes. Right modified lines 42–43 in getRandomForestBuilder (the TreeBuilder/RandomForestBuilder configuration). With no overlapping Left changes, the merged result preserves Right’s behavior and does not alter unchanged base behavior. No state element differs between B/L and the merge; thus no semantic conflict."
74;resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;getMethodCallback(JMethod);[83, 84, 85];[86, 87, 88, 89, 90, 91];changed if statement (condition, and block) on method getMethodCallback(JMethod);extracted variable refactoring and added if statement on method getMethodCallback(JMethod);Yes;False;LEFT modifies the primitive-return branch of getMethodCallback (lines 83–85), while RIGHT modifies the non-primitive/overlay branch (lines 86–91). These branches are mutually exclusive for any given method return type, so the integrated code preserves both behaviors without interference. No state element is computed differently in the merge than in L or R individually.
75;retrofit;2b6c719c6645f8e48dca6d0047c752069d321bc4;retrofit.RestAdapter;logAndReplaceResponse(String, Response, long);[438];[415];Left writes in log a single time, a whole string, while base writes part of this string in many log operations. So left is not a refactoring.;Rigth extracts a method but adds conditionals to handle the case when the fields are null. So right is not a refactoring either.;Yes;False;Both changes affect only logging within logAndReplaceResponse. RIGHT modifies the initial response log line (e.g., formatting/status/URL/time), while LEFT changes how the body is logged (e.g., charset/length handling). They touch different parts of the method and do not affect request/response processing or the returned Response object. Their behaviors can coexist without interfering, so there is no semantic conflict.
76;retrofit;2b6c719c6645f8e48dca6d0047c752069d321bc4;retrofit.RestAdapter;logAndReplaceRequest(Request);[398];[369];Left writes in log a single time, a whole string, while base writes part of this string in many log operations. So left is not a refactoring.;Rigth extracts a method but adds conditionals to handle the case when the fields are null. So right is not a refactoring either.;Yes;False;Both changes affect only the logging behavior inside logAndReplaceRequest(Request) but in different subparts. The RIGHT change updates how request headers are logged (e.g., formatting/filtering during the header loop). The LEFT change updates the body logging/end-of-log details (e.g., handling charset/size or the END HTTP line) after the body may be buffered. These adjustments are independent: they do not alter request construction, execution, or response handling, and their effects on logging do not override each other. Thus, integrating them preserves both modified behaviors and the base behavior, yielding no semantic conflict.
77;retrofit;71f622ce51031b152a0be6ad5facfb27a654bf5a;retrofit.RequestBuilder;build();[88];[96, 97, 100, 95];"Left changed the argument of a method call and chained it with another call. Semantically, it inserts ""?"" in the middle of a string stored in the url variable.";Right adds an if statement that surrounds an assignment (which comes from base) to the url variable.;Yes;False;LEFT appears to change only the local headers list declaration/instantiation (a refactor with no behavioral impact). RIGHT changes build() to compute the body first and add a Content-Type header based on the body (and then pass the body to the Request). These are independent: LEFT’s refactor does not affect RIGHT’s header addition or body handling. The merged result preserves RIGHT’s new behavior and does not alter LEFT’s intent, so there is no semantic conflict.
78;RxJava;1c47b0cb26e6d971eefa42ebb3479099236b0125;rx.concurrency.TestScheduler;triggerActions(long);[100];[96, 97, 95];Left moves the value assignment of the field time from the first IF declaration to the end of the method declaration.;Right adds a new IF declaration. Now, an external method call is done only if current TimedAction object is not canceled.;No;False;"LEFT changes the per-step time update (e.g., to avoid moving the scheduler clock backwards when executing actions), while RIGHT restructures the loop condition/peek-remove pattern (e.g., combining the break condition or using poll). These touch different lines and concerns: LEFT affects how 'time' is updated for each executed action; RIGHT affects how due actions are dequeued. The integrated result preserves both behaviors: actions up to targetTime are executed in order, and the internal clock remains monotonic. No altered or base behavior is lost, so there is no semantic conflict."
79;RxJava;a40a4130edcdadc2340da5787ca30353018173f2;rx.internal.operators.OperatorMulticast;connect(Action1<?superSubscription>);[94];[128, 129, 131, 117, 118, 119, 120, 121, 122, 124, 125];Left modifies subscription.;Right modifies subject.;No;False;"LEFT makes a small, localized change in connect (single line) that does not alter the connection lifecycle or guarded state (likely a minor refactor such as using a different subscribe variant). RIGHT adjusts multiple lines in the latter part of connect, refactoring how waiting subscribers are attached and how the final subscription/unsubscription is performed, while preserving the guarded state transitions (subscription, guardedSubscription, connectedSubject). The changes affect different aspects and compose without altering each other's intended behavior; no shared state element ends up with a different value compared to either side alone."
80;SimianArmy;345ad9513aafff397050d613fa87ad06ddffe99d;com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext;getInstanceJanitor();[227, 228, 229, 230];[232, 233, 234, 235, 237, 238];Left updates the rule added in ruleEngine by method addRule().;Right adds a new if statement, which may also add a new rule in ruleEngine.;No;False;Left adds a new boolean configuration (opsworks.parentage) to OrphanedInstanceRule, altering how orphaned instances are detected. Right adds an UntaggedRule for instances to enforce required tags. These are independent additions to the rule set for InstanceJanitor and can coexist: the merged code preserves both behaviors (enhanced orphan detection and untagged enforcement). No state element is computed inconsistently between B, L, R, and Merge.
81;SimianArmy;c39c19bc6b9231601f6bc7358e638a99adf37e0d;com.netflix.simianarmy.basic.BasicSimianArmyContext;BasicSimianArmyContext(String);[128, 129, 130, 131, 115, 132, 133, 134, 135, 141, 126, 127];[112, 113, 114, 115, 110, 111];Left adds five new five fields on the class and their instantiations.;Right changes the contents that are written on the field LOGGER.;No;False;"LEFT adds AWS proxy/client configuration and passes ClientConfiguration to AWSClient and STSAssumeRoleSessionCredentialsProvider; RIGHT changes the property logging to avoid exposing secrets. These changes touch different concerns (runtime AWS client setup vs logging) and do not alter the same state semantics. The merged behavior preserves both: enhanced logging safety and optional proxy/assume-role support. No semantic interference."
82;spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;org.springframework.boot.autoconfigure.mongo.MongoProperties;builder(MongoClientOptions);[272];[261, 262, 263, 264, 265, 266, 267, 268, 271];Left changes one attribute of an object using a set method;Left changes nine attributes of an object using a set method;No;False;"Left adjusts a single setter in the builder(MongoClientOptions) method (i.e., copies one additional/updated option from the given MongoClientOptions into the new Builder). Right updates several adjacent setters in the same block (e.g., adds/removes/adjusts multiple option copies such as replica set name, SSL, socket, threading, write concern). These changes are additive and affect only how options are transferred into the Builder; they do not change control flow or the decision of whether to use URI vs host/port. The modified line ranges do not overlap (Right: 261-268,271; Left: 272), so the merged version can include both sets of updates. Therefore, the integrated code preserves both sides’ intended behavior with no semantic interference."
83;spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;org.springframework.boot.loader.archive.ExplodedArchiveTests;getUrl();[];[];Equals to the base class;Changed a test assert;No;False;Neither LEFT nor RIGHT modified ExplodedArchiveTests.getUrl() (or the class). With no changes, there is no interference and the behavior remains as in the base.
84;spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;org.springframework.boot.loader.archive.ExplodedArchive;getUrl();[];[];Left removes one parameter (handler) for the new URL object, that is returned by the method.;Right updates one parameter used to create the URL object that is returned by the method, by calling toURL();No;False;Neither LEFT nor RIGHT modified ExplodedArchive.getUrl() (or the class). The merged result preserves the base behavior of returning this.root.toURI().toURL(). No state or behavior differences are introduced, so there is no semantic interference.
85;spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory;createDeploymentManager(ServletContextInitializer);[357, 358, 359, 360, 345, 361, 362];[364];Left sets one attribute of object deployment, which is used to create the returned method object manager.;"Right modifies the way the returned manager object is created; before, it was done by calling the method defaultContainer from Servlets, and now it’s done by calling the method newContainer.";No;False;Left adjusts deployment setup (e.g., deployment name and surrounding initialization steps) and retains the session manager configuration flow. Right changes a single line to alter how the session timeout is applied (unit conversion). These changes affect different concerns and can coexist without altering each other’s intended behavior.
86;spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);[99];[121, 123];Modified a class's instance declaration, instead of using new Class(), called a method that does this.;Inserted a conditional (if) for an attribute that has not been changed from the left, checking if an attribute of the class is true or false.;No;False;LEFT adjusts the SpringApplicationBuilder configuration earlier in createRootApplicationContext (e.g., context class/builder setup), while RIGHT changes the error page filter registration near the end of the method. These affect independent concerns (context creation vs. error filter registration) and do not alter the same state, so the merged result preserves both behaviors without interference.
87;spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);[87];[88];extracts the instantiation of the object to another method;Change an object's attribute using a set method;No;False;Left modified the first part of the if-condition that checks whether application sources are empty, while Right modified the second part that checks for a configuration annotation on the class. These are independent operands of the same conditional (lines 87 and 88 respectively). When merged, both changes can coexist: the condition still evaluates as a conjunction of the updated emptiness check and the updated annotation check. No altered behavior from either side is lost, and no base behavior is broken, so there is no semantic conflict.
88;spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport(boolean);[114];[110];Change the string sent as a parameter to the logger.debug method;Change the string sent as a parameter to the logger.info method;Yes;False;Left changes the logging call/message in the crash-report branch (affecting only the emitted log text/format), while Right changes the condition that checks whether there are any outcomes (e.g., size() > 0 to !isEmpty), which is a behavior-preserving refactor. These modifications are orthogonal: one affects message content/format, the other the way emptiness is checked. The merged result can preserve both without altering the program’s behavior beyond the intended logging text change.
