ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI;conflict;explanation
46;HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;com.zaxxer.hikari.HikariPool;addConnection();[356, 372, 374, 365];[339, 340, 341, 342, 343, 344, 345, 362, 346, 348];Left adds a new verification an an IF condition, does a refactoring for an old IF, and also adds a call for a local method.;Rights changes the assigment to local variable retries, adds some new IF statements, and sets the field loginTimeout on datasource.;Yes;True;Right redefines the meaning of the local variable 'retries' (from holding the configured acquireRetries to acting as a retry counter starting at 0) and adds loginTimeout handling. Left refactors/extends an IF that uses 'retries' (e.g., the speculative increment/maximumPoolSize guard) and adds a local method call. When merged, the IF conditions that depend on 'retries == 0' will now test the first attempt rather than 'no retries configured', altering when the pool-size guard and totalConnections accounting occur. This changes Left’s intended behavior or base behavior and interferes with Right’s retry logic, creating a semantic conflict. The added local method call itself is non-conflicting.
47;HikariCP;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;com.zaxxer.hikari.HikariConfig;validate();[577, 578, 579, 580, 581, 582];[];Left adds a new IF statement, which may write in logger calling method info;Right removes source code, which would write in logger calling method error or wanr, or even trhows an exception. Changes on formating;Yes;False;"Left adds a new conditional that only emits an info log around the jdbcUrl handling; it does not change any state or control flow. Right removes some logging (warn/error) and some exception throws elsewhere in validate(), mostly affecting messages/validation strictness and formatting. The edits do not target the same stateful computations (e.g., dataSource assignment, timeouts, pool sizes) and do not alter each other’s effects. No shared state variable is computed differently due to the combination, so there is no semantic merge conflict."
48;java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;com.github.javafaker.Faker;Faker(Locale, Random);[69, 59];[70];Left adds an initialization of two fields on constructor.;Right changes the initialization of a different field.;No;False;Left adds constructor initialization for two fields, while Right changes the initialization of a different field. These changes affect distinct fields and can be combined in the merged constructor without overriding each other. No shared state is altered in a contradictory way, so the merged behavior preserves both Left’s added initializations and Right’s modified field initialization.
49;jenkins;48b2b951dfb3438999ceda330093cac82b857ce6;jenkins.slaves.DefaultJnlpSlaveReceiver;handle(String, JnlpSlaveHandshake);[52];[52, 56, 57];Left changed the return of a condition from false to true.;Right added an IF, checking if !MatchesSecret (nodeName, handshake) is true, changing the error message of the handshake attribute and error method, then returning true.;Yes;False;Left flips a return value for one condition, while Right adds a new secret-check branch (with its own error message and return). These affect different execution paths, so the merged code can preserve both: Right’s new matchesSecret check and Left’s changed return in its condition. No state element is computed to conflicting values by L and R for the same inputs.
50;jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;org.jsoup.helper.HttpConnection;createConnection(Connection.Request);[609, 610, 611, 612, 613, 614];[617];Left adds a IF statement, allowing extra set fields of the object returned by the method;Rights changes a IF condition, setting more fields of the object returned by the method and accepting more values than before;No;False;"Left adds a new conditional block in createConnection to set additional properties on the HttpURLConnection; Right relaxes a different conditional so another property is set in more cases. They touch different conditionals/fields within the same method and can be applied together without overriding or negating each other’s effects. No shared state is set to conflicting values, so the integrated result preserves both changes’ behaviors."
51;jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);[584, 585, 586];[544, 547];Left changes the value assigned to the local variable bodyStream, and also removes the local variable dataStream. The object bodyStream uses the object conn, that is created based on req (changed by Right).;Right adds a new verification before calling some methods of the parameter req.;Yes;False;"Right adds a precondition check on req (e.g., ensuring req.url() is non-null) before using it, affecting only error cases. Left refactors response-body reading by changing how bodyStream is obtained and removing dataStream, which is local to reading the response after the connection is created. These changes touch different concerns (validation vs. stream handling) and do not alter the same state elements; the merged code preserves both behaviors."
52;jsoup;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);[456];[483, 484, 485];Left adds a new condition (OR) that is reponsible for changing the value of the local variable needsRedirect.;"Right updates another if statement conditions; it changes a set of conditions grouped with AND, to the OR operator. This if is responsible for throw a new exception.";Yes;False;Left adds an extra redirect condition, making needsRedirect true for an additional status code. Right changes the content-type validation to throw UnsupportedMimeTypeException under broader conditions (AND to OR). These changes affect different parts of the control flow: redirect handling is decided immediately after reading the status code and occurs before the content-type check. Thus, Left’s redirect behavior is preserved (it executes before content-type validation), and Right’s content-type exception behavior applies only when no redirect occurs. They do not alter the same state element or negate each other’s behavior.
53;jsoup;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;org.jsoup.nodes.TextNode;outerHtmlHead(StringBuilder, int, Document.OutputSettings);[94];[98];"Left changes the condition of an if statement, which calls the method preserveWhitespace. Now the method only performs its verifications if the node is not null and is an instance of Element type; otherwise, no action is performed and the value of local variable html is not updated.";Right adds a new condition (OR) in an if statement, which may change the value of the parameter accum.;Yes;False;"LEFT refactors the pretty-print/whitespace-preservation guard to explicitly check parent non-null and Element before normalising html; this is semantically equivalent to the original short-circuited instanceof check, so html normalization behavior is unchanged. RIGHT broadens the condition that triggers indentation, affecting accum in more cases. The changes touch different conditions (normalization vs. indentation) and do not alter each other’s effects. The merge preserves RIGHT’s new indentation behavior and LEFT/base behavior for html normalization, so no semantic conflict."
54;libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application;newWindow(ApplicationListener, Lwjgl3WindowConfiguration);[318];[325];Left changes four attributes of an object using a set method;Right uses a set method to change the value of an object's attribute;No;False;"Left updates window size limit settings (four values) on the new window’s configuration, while Right updates a different single configuration attribute (e.g., visibility, decoration, listener, etc.). These settings are independent and applied before window creation. Integrating both preserves each change’s behavior and the base behavior; no state element is computed inconsistently in the merge."
55;libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration;copy(Lwjgl3ApplicationConfiguration);[96, 97, 98, 99];[107];Left assigns new values ​​from the method parameter to four different attributes of the object.;Right assigns a new value from the method parameter to an attribute of the object.;No;False;"Left updated the copy method to also copy four additional fields from the source config; Right updated it to copy one other field. These assignments are to distinct attributes and are independent, and assignment order does not affect semantics here. In the merge, all targeted fields can be copied, preserving both Left’s and Right’s intended behavior and the base behavior for other fields. Therefore, there is no semantic merge conflict."
56;logback;542843fd04a793fb9e0eea0c84d199e66d7c15af;ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase;start();[45];[52, 53, 54, 55, 56];Extracted a variable from constructor DateTokenConverter creating a Object object (Refactor) called dtc.;Created a condition with the dtc object, checking if getTimeZone is different from null and returning an instance of the RollingCalendar object.;Yes;False;Left only refactors by introducing a local variable (dtc) for the DateTokenConverter, with no behavioral change. Right uses dtc to create a timezone-aware RollingCalendar when a timezone is present. These changes compose cleanly: the merge preserves Right’s intended behavioral change and Left’s refactor. No state (e.g., rc, nextCheck) is computed differently in Merge versus Right, and Left’s behavior is preserved.
57;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment;generateScatterData(int, float, int);[80, 91];[73];"Changes the values passed to the Entry class constructor, inverting the passed parameters, that changes inteferes with a call to setScatterShape modifying an attribute on the ScatterDataSet class . Removes the value ""ChartData.generateXVals(0, count)"" from the ScatterObject creation";"Changes the method that initializes the shapes array to ""ScatterChart.ScatterShape.getAllDefaultShapes()"" that adds new shapes to the shapes variable";No;False;LEFT adapts to the new data API by swapping Entry constructor args to (x=j, y=value) and using the ScatterData(sets) constructor (removing explicit xVals). RIGHT only changes the pool of shapes via getAllDefaultShapes(), affecting visual shape selection. These changes operate on independent concerns (data coordinates vs. shape selection) and do not compute the same state differently. The merged result can preserve both behaviors without interference.
58;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onProgressChanged(SeekBar, int, boolean);[178, 168, 188, 204, 173, 205];[183, 186, 191];Left made changes to yVals1, yVals2, and yVals3, then also altered the same object set2 from right but in different attributes. Finally, left modifies the data object, which contains a list with set1, set2, and set3.;Right made changes to set1, set2, and set3, which were created using yVals but are elements of different states. Both sides preserved each other's changes.;No;False;Left changed the generated data lists (yVals1..3), adjusted some attributes of set2, and modified the ScatterData object. Right changed styling/attributes for set1, set2, and set3. These edits target different aspects (data content vs. rendering attributes, or different fields of set2) and were preserved together in the merge. No side’s behavior is overridden and the base behavior is maintained, so there is no semantic conflict.
59;MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;com.xxmassdeveloper.mpchartexample.ScatterChartActivity;onCreate(Bundle);[80, 86, 77, 63];[57];Left refactored by renaming tf to mtfLight and moved the variable initialization to the onCreate method of the superclass. And writes to maxHighlightDistance, and right writes to shapeRendererList.;Right writes to shapeRendererList.;No;False;"Left refactors the typeface field initialization to the superclass and sets maxHighlightDistance; Right adds a custom scatter shape renderer (writes to shapeRendererList). These changes affect different state elements (typeface/maxHighlightDistance vs. shapeRendererList) and can coexist without altering each other's behavior or the base behavior."
60;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.LineChartActivity2;onCreate(Bundle);[126];[117];Added a call to the setDrawZeroLine method setting the value for the field mDrawZeroLine at the rightAxis object as false.;Deprecated the method setStartAtZero from the YAxis class, and removed the call for it on the rightAxis object. Added a call to the method setAxisMinValue on the left axis object;No;False;LEFT explicitly disables drawing the zero line on the right Y axis (setDrawZeroLine(false)). RIGHT removes a deprecated setStartAtZero call and sets an explicit minimum on the left Y axis (setAxisMinValue). These changes affect different properties/axes and do not override each other. The merged code preserves RIGHT’s axis range behavior and LEFT’s zero-line setting (which matches the default), so no semantic interference occurs.
61;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.RadarChartActivitry;onCreate(Bundle);[59, 60, 61, 62];[72];Left, in the animateXY method, writes to the mAnimator attribute,;Right writes to XAxis.xCustomAxisMin. Below this, there are only getters and setters.;No;False;Left changes only affect animation (animateXY now writes to the chart’s mAnimator), while Right changes only affect axis configuration (sets XAxis.xCustomAxisMin). These touch disjoint state (animation vs axis settings) and do not alter the same behavior or rely on each other, so the merged program preserves both behaviors without interference.
62;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative;onCreate(Bundle);[64, 65];[];"On the left side, it altered mChart.getAxisRight().setDrawGridLines(false); and mChart.getAxisRight().setDrawZeroLine(true);.";Right side removed setStartAtZero() from the getAxisRight object. This was probably due to the invalidate() method causing globally observable interference. However, as our focus is on LOI (Local Observability Interference), we should pay attention to these modifications.;No;False;"Left changes toggle grid lines and enable the zero line on the right axis; Right removes setStartAtZero() on the right axis. These affect different properties. Since the axis min/max are explicitly set to -25 and 25, startAtZero had no effect, so its removal does not interfere with the left changes or base behavior."
63;MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;com.xxmassdeveloper.mpchartexample.LineChartActivity1;onCreate(Bundle);[135];[];"On the left side, it altered mChart.getAxisRight().setDrawZeroLine(true);.";On the right side, it removed setStartAtZero() from the getAxisRight object, but it was in a different class from the previous one. This was probably done to avoid globally observable interference caused by invalidate(). However, since our focus is on LOI (Local Observability Interference), we should closely examine these modifications.;No;False;Left enables drawZeroLine on the chart’s right Y-axis in LineChartActivity1, but that axis remains disabled (setEnabled(false)) in the base, so the change has no visible effect. Right’s change removes setStartAtZero() in a different class and does not touch this method or chart instance. The merged program preserves base and left behaviors in this method, and there is no interfering state between the two changes.
64;MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;com.github.mikephil.charting.renderer.LineChartRenderer;drawData(Canvas);[];[];On the left side, two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()).;On the right side, the last condition was added, and it involved casting to an integer: (int) mViewPortHandler.getChartHeight().;Yes;False;"Left added checks to recreate the path bitmap when its width/height differ from the chart’s dimensions; Right added an int cast to the height comparison to avoid float/int mismatch. The merged code compares both width and height against (int) chart dimensions, thus incorporating Left’s additional checks and Right’s casting fix. This preserves and improves intended behavior without interference."
65;MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;com.github.mikephil.charting.renderer.PieChartRenderer;drawData(Canvas);[];[94];On the left side, two conditions were added: (mPathBitmap.getWidth() != mViewPortHandler.getChartWidth()) || (mPathBitmap.getHeight() != mViewPortHandler.getChartHeight()).;On the right side, the last condition was added, and it involved casting to an integer: (int) mViewPortHandler.getChartHeight().;Yes;False;"Left adds checks to recreate the cached bitmap when chart size changes; Right refines the comparison by casting chartHeight to int to avoid float–int mismatch. Combined, the code re-creates the bitmap on real size changes while preventing unnecessary re-allocations due to fractional floats. The behaviors are complementary and preserved; no interfering state or altered behavior is lost."
66;netty;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder;decode(ChannelHandlerContext, Channel, ChannelBuffer);[358, 360];[322, 374];Left updates how variable frameLength is incremented, which is done only if the new conditional in the if statement is true.;Right updates method call failIfNecessary adding a new parameter (boolean value). [But these changes were also done by Left.];Yes;False;Left changes adjust the frameLength calculation logic (conditional increment), while Right changes refactor failIfNecessary to take a boolean and update its call sites. These edits are orthogonal: Right does not alter the frameLength computation, and Left also includes the updated failIfNecessary usage. The merged result preserves Left’s intended behavior for frame length handling and Right’s refactoring, so no semantic interference occurs.
67;okhttp;35166168529bd27281685e56a0a122eff44460e9;com.squareup.okhttp.OkHttpClient;copyWithDefaults();[277, 293];[287];Left changed the object returned by the method using the current object of the class and ass a new value to the field transports.;Right changes the value assigned to result.hostnameverifier adding now an object OkHostnameVerifier.;No;False;"Left changes use the copy constructor (sharing failedRoutes) and add a default for transports; Right changes the default hostnameVerifier to OkHostnameVerifier. These affect independent fields (failedRoutes/transports vs. hostnameVerifier). The merged method can contain both: new OkHttpClient(this), setting transports default, and using OkHostnameVerifier. No altered behavior is lost, so there is no semantic conflict."
68;okhttp;1151c9853ccc3c9c3211c613b9b845b925f8c6a6;com.squareup.okhttp.internal.bytes.GzipSource;consumeHeader(Deadline);[112];[138];Left does a refactoring by renaming the method getByte on OkBuffer class.;Right does a refactoring by extracting the local method seek to OkBuffers class.;No;False;Left refactors the call to OkBuffer.getByte (method rename), and Right refactors the zero-terminator search by calling OkBuffers.seek (method extraction). Both changes are behavior-preserving, affect different parts of consumeHeader, and do not alter computed values (flags byte read vs. name/comment scanning). No semantic interference arises.
69;OpenTripPlanner;4c506dce43775704919d084f0acfba86d251bf4a;org.opentripplanner.routing.spt.MultiShortestPathTree;dominates(State, State);[144, 146, 147, 148, 149, 152, 141];[123];Left renames some local variables and updates three boolean local variables used to define the method return.;Right adds a new if statement, which may return false.;Yes;False;"Right adds a new early-return condition (return false) near the start of dominates; Left only renames locals and adjusts the three boolean checks used in the final return. These changes affect disjoint parts of the method: if Right’s condition triggers, both R and Merge return false; otherwise, the final decision uses Left’s updated boolean logic. The merged result preserves both sides’ behaviors, so there is no semantic interference."
70;orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;com.orientechnologies.orient.core.Orient;startup();[191];[158];Left removes an IF statement and a method call on profiler field, and changes the location of an assignment for field active.;Right change the location of the profiler field instatiation.;No;False;Left removes a conditional and a profiler method call, and reorders the assignment to the 'active' flag. Right only reorders where the profiler instance is created. These changes are orthogonal: moving profiler instantiation does not depend on nor restore the removed profiler call, and Right does not touch the 'active' flag. In the merge, profiler remains uncalled as per Left, and 'active' assignment remains at Left’s new position. No state (profiler or active) computes a conflicting value compared to Left or Right intentions, so there is no semantic interference.
71;pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionFailure(ApnsConnection<T>, Throwable);[481, 482, 483, 484, 485, 476, 478];[490];Left added a local variable called pushManager and created a for loop to iterate over a list of FailedConnectionListener.;"The right developer performed an ""extract method,"" which is a structural refactoring for the method startNewConnection().";No;False;"Left adds asynchronous notification of FailedConnectionListener on connection failure and then starts a replacement connection via startNewConnection(); Right performs an extract-method refactoring for startNewConnection() without changing behavior. These changes are orthogonal: listener notifications do not interfere with how a new connection is started, and the refactoring preserves the same startNewConnection() call site. The merged code preserves Left’s new behavior and Right’s refactoring, so no semantic interference occurs."
72;pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionClosure(ApnsConnection<T>);[520, 510];[515, 500, 502, 503];Left replaces “new Thread” with “listenerExecutor”;"Right does a refactoring by “extracting"" two local methods.";No;False;"Left changes the closure-handling task from spawning a new Thread to submitting to the existing listenerExecutorService, affecting only execution context/scheduling. Right only refactors by extracting helper methods without changing behavior. When merged, the extracted methods can still submit the task to listenerExecutorService, preserving Left’s intended behavior and Right’s refactoring intent; no state values or outcomes differ beyond Left’s change."
73;quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;quickdt.experiments.OutOfTimeCrossValidatorRunner;getRandomForestBuilder(int, int);[];[42, 43];Left deletes a method call, which set the field maxDepth.;Right renames a local variable RandomForestBuilder, and replaces the method return for that local variable. This variable has a different type related to the method return type on Base commit, but the interface is still the superclass.;No;False;Left removes the maxDepth configuration on the TreeBuilder, changing model behavior (tree depth default). Right only refactors the local variable (name/type to the superclass) and return statement without affecting behavior. The merged result preserves Left’s behavioral change and Right’s refactoring, so there is no semantic interference.
74;resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;getMethodCallback(JMethod);[83, 84, 85];[86, 87, 88, 89, 90, 91];changed if statement (condition, and block) on method getMethodCallback(JMethod);extracted variable refactoring and added if statement on method getMethodCallback(JMethod);Yes;False;"Left modified the primitive-return case (the first if branch) in getMethodCallback, while Right refactored and added logic in the subsequent non-primitive branch (after computing the return type string/variable and handling overlay vs. method callbacks). These affect disjoint execution paths: if the return type is primitive, Left’s branch returns immediately and Right’s new logic is not reached; if it is non-primitive, Right’s logic applies and Left’s change is irrelevant. The merged result preserves Left’s intended behavior for primitives and Right’s intended behavior for non-primitives/overlays, so no altered or unchanged behavior is lost."
75;retrofit;2b6c719c6645f8e48dca6d0047c752069d321bc4;retrofit.RestAdapter;logAndReplaceResponse(String, Response, long);[438];[415];Left writes in log a single time, a whole string, while base writes part of this string in many log operations. So left is not a refactoring.;Rigth extracts a method but adds conditionals to handle the case when the fields are null. So right is not a refactoring either.;Yes;False;Left consolidates multiple log calls in logAndReplaceResponse into a single log call (same content, different batching). Right extracts helper logic and adds null checks to avoid NPEs when fields are null. These behaviors are orthogonal: the null-safety can be retained while still emitting a single aggregated log message. No response/request state or conversion behavior changes, so both changes can be combined without semantic interference.
76;retrofit;2b6c719c6645f8e48dca6d0047c752069d321bc4;retrofit.RestAdapter;logAndReplaceRequest(Request);[398];[369];Left writes in log a single time, a whole string, while base writes part of this string in many log operations. So left is not a refactoring.;Rigth extracts a method but adds conditionals to handle the case when the fields are null. So right is not a refactoring either.;Yes;True;Left rewrites logAndReplaceRequest to build and emit the request log in a single call, replacing the original step-by-step logging. Right extracts logic and adds null checks (e.g., for headers/body) to avoid NPEs. In the overlap, Left’s rewrite likely omits Right’s new conditionals. The merged code would then potentially throw (e.g., iterating/formatting null headers/body), whereas Right’s version would not, changing runtime behavior. Thus the integrated changes do not preserve Right’s altered behavior and introduce a semantic conflict.
77;retrofit;71f622ce51031b152a0be6ad5facfb27a654bf5a;retrofit.RequestBuilder;build();[88];[96, 97, 100, 95];"Left changed the argument of a method call and chained it with another call. Semantically, it inserts ""?"" in the middle of a string stored in the url variable.";Right adds an if statement that surrounds an assignment (which comes from base) to the url variable.;Yes;False;"Left modifies the URL construction to insert a '?' before appending the query portion; Right wraps the assignment/appending to the url in an if-guard. In the merge, the guarded assignment will still include Left’s inserted '?'. When the guard is false the code behaves like base (no change), and when true it behaves like Left. Thus, the final URL string is preserved in both cases and there is no semantic interference."
78;RxJava;1c47b0cb26e6d971eefa42ebb3479099236b0125;rx.concurrency.TestScheduler;triggerActions(long);[100];[96, 97, 95];Left moves the value assignment of the field time from the first IF declaration to the end of the method declaration.;Right adds a new IF declaration. Now, an external method call is done only if current TimedAction object is not canceled.;No;False;"Left ensures the scheduler’s time is set to targetTimeInNanos at the end of triggerActions, regardless of whether any actions ran. Right adds a guard to skip invoking the action if the TimedAction has been cancelled. These changes are orthogonal: Left affects only the final time update, while Right affects whether the action is executed. The merged code preserves both behaviors (time updated at the end; cancelled actions not executed), so there is no semantic interference."
79;RxJava;a40a4130edcdadc2340da5787ca30353018173f2;rx.internal.operators.OperatorMulticast;connect(Action1<?superSubscription>);[94];[128, 129, 131, 117, 118, 119, 120, 121, 122, 124, 125];Left modifies subscription.;Right modifies subject.;No;False;"Left changes the upstream Subscriber ('subscription') that forwards source events into the Subject (e.g., creation/management of the 'subscription' and unsubscription handling). Right changes how the Subject is used for downstream subscribers (e.g., how waiting subscribers are attached to the subject and/or how the subject is recorded in connectedSubject). These operate on different state elements: Left affects 'subscription' and its lifecycle; Right affects 'subject' usage for consumers. They don’t overwrite each other’s behavior or change the same state in incompatible ways. The merged code still routes source -> subscription -> subject and subscribes waiting observers to the subject, preserving both modifications’ intended behavior. Therefore, there is no semantic merge conflict."
80;SimianArmy;345ad9513aafff397050d613fa87ad06ddffe99d;com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext;getInstanceJanitor();[227, 228, 229, 230];[232, 233, 234, 235, 237, 238];Left updates the rule added in ruleEngine by method addRule().;Right adds a new if statement, which may also add a new rule in ruleEngine.;No;False;Left modifies the parameters/implementation of an existing rule added to the Instance janitor’s ruleEngine, while Right adds a new conditional that may register an additional rule. These are additive, independent changes to the rule set: the merge will contain the updated existing rule plus the newly added rule, preserving both behaviors and the base behavior. No semantic interference is expected.
81;SimianArmy;c39c19bc6b9231601f6bc7358e638a99adf37e0d;com.netflix.simianarmy.basic.BasicSimianArmyContext;BasicSimianArmyContext(String);[128, 129, 130, 131, 115, 132, 133, 134, 135, 141, 126, 127];[112, 113, 114, 115, 110, 111];Left adds five new five fields on the class and their instantiations.;Right changes the contents that are written on the field LOGGER.;No;False;"Left adds new fields and initializes them; Right changes log message content written via LOGGER. These touch different concerns: state/configuration vs. logging output. They do not alter the same state elements or behavior paths, and both changes can coexist without affecting each other’s semantics."
82;spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;org.springframework.boot.autoconfigure.mongo.MongoProperties;builder(MongoClientOptions);[272];[261, 262, 263, 264, 265, 266, 267, 268, 271];Left changes one attribute of an object using a set method;Left changes nine attributes of an object using a set method;No;False;"Both sides modify the same builder(MongoClientOptions) method to set options on MongoClientOptions.Builder by copying values from the provided options. The LEFT change adds/adjusts one property; the RIGHT change adds/adjusts nine other properties. These are independent, additive setters and do not alter shared logic or each other’s values. The merged result will set all specified properties, preserving the behavior intended by both sides and the base."
83;spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;org.springframework.boot.loader.archive.ExplodedArchiveTests;getUrl();[];[];Equals to the base class;Changed a test assert;No;False;LEFT makes no changes (same as base). RIGHT adjusts a test assertion (e.g., in getUrl()). Merging results in the RIGHT version of the test with no overlapping modifications or altered production logic. Therefore, no semantic interference occurs.
84;spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;org.springframework.boot.loader.archive.ExplodedArchive;getUrl();[];[];Left removes one parameter (handler) for the new URL object, that is returned by the method.;Right updates one parameter used to create the URL object that is returned by the method, by calling toURL();No;False;"Left removes the custom handler from URL creation; Right changes the construction to use root.toURI().toURL(). Both aim to return a standard URL for the root directory without a handler. The merged result (using toURL() with no handler) preserves both changes’ intended behavior, so there’s no semantic interference."
85;spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory;createDeploymentManager(ServletContextInitializer);[357, 358, 359, 360, 345, 361, 362];[364];Left sets one attribute of object deployment, which is used to create the returned method object manager.;"Right modifies the way the returned manager object is created; before, it was done by calling the method defaultContainer from Servlets, and now it’s done by calling the method newContainer.";No;False;Left adds a configuration attribute to DeploymentInfo before creating the DeploymentManager. Right changes the Undertow container creation from defaultContainer() to newContainer(). These changes affect different concerns (deployment configuration vs container instance creation) and are compatible. The merged code preserves Left’s added DeploymentInfo setting and Right’s use of newContainer(), so no altered or unchanged behavior is lost.
86;spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);[99];[121, 123];Modified a class's instance declaration, instead of using new Class(), called a method that does this.;Inserted a conditional (if) for an attribute that has not been changed from the left, checking if an attribute of the class is true or false.;No;False;"Left refactors how the SpringApplicationBuilder is created (uses a factory method instead of new), which is behavior-preserving by default and only enables customization. Right makes ErrorPageFilter registration conditional on registerErrorPageFilter. These changes affect different concerns and state; they do not interfere and the merged code preserves both behaviors."
87;spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;org.springframework.boot.context.web.SpringBootServletInitializer;createRootApplicationContext(ServletContext);[87];[88];extracts the instantiation of the object to another method;Change an object's attribute using a set method;No;False;"LEFT refactors the creation of SpringApplicationBuilder by extracting it into a helper method (no behavior change by itself). RIGHT changes an object's attribute via a setter (e.g., updating a property on the builder or servletContext). These changes affect different concerns and can coexist: the builder can be created via the new method and the attribute can still be set afterward. No state value computed by B, L, or R is altered incorrectly by the merge; thus no semantic conflict."
88;spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport(boolean);[114];[110];Change the string sent as a parameter to the logger.debug method;Change the string sent as a parameter to the logger.info method;Yes;False;"Left changes the debug log message; Right changes the info log message shown only on crash when debug is disabled. They affect different log calls on different conditions and can coexist. The merged behavior preserves both changes without altering base behavior elsewhere."
89;spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory;customizeConnector(Connector);[240, 241, 242, 243, 244, 246, 247, 248, 249];[228];Added an if condition that has an asset in its body. One method call to configureSsl and two set method calls to connector;Added a wildcard to the generic of the AbstractProtocol class which is used as a casting;No;False;"LEFT adds SSL configuration in customizeConnector: asserts protocol handler is AbstractHttp11JsseProtocol when SSL is enabled, calls configureSsl, and sets scheme=https and secure=true. RIGHT only changes a cast to AbstractProtocol<?> when setting the connector address, which is a type-safety (generics) refinement with no runtime effect. The changes touch different concerns and lines, and their merge preserves both behaviors; no state element is computed differently due to the integration."
90;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpout;open(Map, TopologyContext, SpoutOutputCollector);[];[118, 102];Left removes the assignment value to field maxRetries, which was also removed by Left.;Right assigns a value for field refreshSubscriptionTimer, which was also added by Right.;No;False;Left removes the maxRetries field and its assignment (not present in this method), while Right adds initialization of refreshSubscriptionTimer in open(). These changes affect different state elements and do not alter or interfere with each other’s behavior. The merged result preserves Left’s removal of maxRetries and Right’s addition of refreshSubscriptionTimer without changing the behavior of unchanged parts of the base.
91;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpoutConfig;KafkaSpoutConfig(Builder<K,V>);[];[435, 436, 437, 438, 439, 440, 441, 430, 431];Left removes the assignment for field maxRetries, and also its declaration.;Right removes four fields and adds seven fields with their assignment.;No;False;Left removes the maxRetries field and its assignment from KafkaSpoutConfig(Builder), while Right removes four other fields and adds seven new fields with corresponding assignments. The Left change targets only the obsolete maxRetries state, and the Right change expands configuration with additional fields. These modifications affect different state elements and can coexist in the merged constructor without altering each other's intended behavior or the base behavior.
